Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Age,Item_Outlet_Sales
13.65,Regular,0.080765853,Frozen Foods,262.8936,Medium,Tier 1,Supermarket Type1,Foods,14.0,4958.8784
6.98,Low Fat,0.041189152,Canned,82.8934,Small,Tier 2,Supermarket Type1,Foods,11.0,818.934
20.1,Low Fat,0.074627201,Dairy Foods,110.3228,Small,Tier 1,Supermarket Type1,Foods,16.0,1768.3648
13.3,Low Fat,0.079806266,Dairy Foods,232.53,Small,Tier 1,Supermarket Type1,Foods,16.0,699.09
10.1,Non Edible,0.030062224,Health and Hygiene,154.3656,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,2471.4496
11.8,Non Edible,0.058975504,Health and Hygiene,81.7618,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,966.7416
17.85,Low Fat,0.02492239,Soft Drinks,153.4998,Medium,Tier 3,Supermarket Type2,Drinks,4.0,2922.1962
9.13,Non Edible,0.051847425,Household,152.8024,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,1214.4192
18.2,Regular,0.026064486,Baking Goods,241.8196,Small,Tier 1,Supermarket Type1,Foods,16.0,4097.3332
8.155,Low Fat,0.1867,Meat,190.953,Small,Tier 1,Grocery Store,Foods,28.0,379.506
7.02,Low Fat,0.049865399,Dairy Drinks,82.925,Small,Tier 1,Supermarket Type1,Drinks,16.0,1165.15
6.905,Regular,0.037962696,Dairy Foods,97.5726,Medium,Tier 3,Supermarket Type3,Foods,28.0,978.726
7.485,Low Fat,0.069514712,Snack Foods,108.7228,Small,Tier 2,Supermarket Type1,Foods,6.0,1326.2736
13.65,Low Fat,0.049209192,Fruits and Vegetables,150.005,Small,Tier 2,Supermarket Type1,Foods,9.0,2247.075
17.0,Low Fat,0.120060274,Frozen Foods,246.5434,Small,Tier 2,Supermarket Type1,Foods,6.0,4470.1812
15.2,Low Fat,0.019064377,Snack Foods,238.2248,Medium,Tier 1,Supermarket Type1,Foods,14.0,3555.372
11.65,Low Fat,0.01941154,Hard Drinks,40.3164,Small,Tier 2,Supermarket Type1,Drinks,11.0,502.0132
17.75,Low Fat,0.07607772,Baking Goods,112.4544,Medium,Tier 1,Supermarket Type1,Foods,14.0,2348.9424
16.7,Regular,0.070312473,Baking Goods,189.6214,Small,Tier 2,Supermarket Type1,Foods,6.0,2826.321
16.1,Regular,0.063689583,Dairy Foods,181.9318,Small,Tier 2,Supermarket Type1,Foods,6.0,5954.2494
10.65,Regular,0.085308611,Snack Foods,230.2668,Small,Tier 2,Supermarket Type1,Foods,11.0,5759.17
